City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,racine,42.7495,-88.0751,29.36,59,0,4.12,US,1691530397
277,antsiranana,-12.2787,49.2917,21.73,81,7,5.11,MG,1691530418
278,kourou,5.1552,-52.6478,29.03,84,80,3.94,GF,1691530218
279,kyren,51.6828,102.1408,17.43,97,100,1.08,RU,1691530419
280,soio,-6.1349,12.3689,21.67,88,0,2.91,AO,1691530419
281,tralee,52.2704,-9.7026,15.79,96,100,1.59,IE,1691530419
282,mount airy,36.4993,-80.6073,27.51,53,0,3.09,US,1691530051
283,beruwala,6.4788,79.9828,25.94,87,100,2.25,LK,1691530420
284,kzyltu,53.6364,72.3414,19.37,52,98,2.08,KZ,1691530420
285,yaren,-0.5472,166.916,27.85,71,96,2.5,NR,1691530420
286,bereznik,62.8551,42.7072,13.75,91,5,1.96,RU,1691530420
287,bundi,25.4417,75.6417,26.12,74,91,4.74,IN,1691530421
288,gabes,33.8815,10.0982,25.98,57,0,6.17,TN,1691530421
289,port sudan,19.6175,37.2164,34.32,32,0,2.71,SD,1691530421
290,korla,41.7597,86.1469,24.88,40,0,1.51,CN,1691530422
291,bucerias,20.75,-105.3333,33.88,75,75,3.6,MX,1691530241
292,yuzhno-kurilsk,44.0306,145.8556,17.97,100,100,2.97,RU,1691530422
293,praia da vitoria,38.7333,-27.0667,24.14,83,20,5.94,PT,1691530422
294,idabel,33.8957,-94.8263,27.97,69,0,2.57,US,1691530423
295,el bayadh,33.6832,1.0193,28.09,16,4,3.13,DZ,1691530423
296,tual,-5.6667,132.75,25.5,79,69,8.94,ID,1691530424
297,pangoa,-12.1167,-73.0,24.98,74,65,1.25,PE,1691530424
298,mount isa,-20.7333,139.5,7.87,81,6,0.0,AU,1691530247
299,aberdeen,57.1437,-2.0981,13.27,70,11,5.14,GB,1691529824
300,karratha,-20.7377,116.8463,20.55,38,0,3.86,AU,1691530425
301,santa eularia des riu,38.9846,1.5341,26.12,68,0,2.57,ES,1691530425
